CIK,CCP,AccountsPayableCurrent,Assets,Liabilities,CashAndCashEquivalentsAtCarryingValue,AccountsReceivableNetCurrent,InventoryNet,LongTermDebt
1800,CY2016Q1I,null,39637000000,null,3334000000,3430000000,2786000000,null
2488,CY2016Q1I,324000000,2981000000,null,716000000,508000000,675000000,null
2969,CY2016Q1I,null,16810800000,9757700000,286700000,1373300000,649800000,null
4127,CY2016Q1I,180700000,3958200000,414900000,1177500000,null,333700000,null
4281,CY2016Q1I,2657000000,36140000000,21779000000,1384000000,1556000000,3549000000,null
4447,CY2016Q1I,346000000,34808000000,13174000000,3557000000,612000000,416000000,6592000000
4904,CY2016Q1I,1219500000,62486500000,44344800000,190400000,1650000000,null,19782600000
4962,CY2016Q1I,null,158816000000,138089000000,null,null,null,47311000000
4977,CY2016Q1I,null,127766000000,107745000000,3449000000,null,null,null
5272,CY2016Q1I,null,502777000000,413696000000,null,null,null,31952000000
6281,CY2016Q1I,165790000,7570292000,null,1119662000,398979000,399459000,null
6951,CY2016Q1I,644000000,13075000000,6510000000,2470000000,1913000000,1924000000,3343000000
7084,CY2016Q1I,2969000000,39681000000,null,706000000,1965000000,7914000000,null
8670,CY2016Q1I,158400000,51125600000,46622400000,2941400000,2074400000,null,null
8818,CY2016Q1I,836900000,4249400000,null,169600000,1019100000,519500000,null
9389,CY2016Q1I,1259000000,10059000000,8981000000,205000000,908000000,956000000,5461000000
10456,CY2016Q1I,null,17350000000,null,2211000000,null,1682000000,null
10795,CY2016Q1I,null,26236000000,null,1696000000,null,1846000000,null
11544,CY2016Q1I,null,22230934000,17442878000,837515000,null,null,null
12927,CY2016Q1I,11558000000,91547000000,null,7886000000,9711000000,null,null
14272,CY2016Q1I,1543000000,31892000000,17341000000,2644000000,3363000000,1336000000,null
14693,CY2016Q1I,null,4183000000,2621000000,263000000,559000000,1054000000,1230000000
16732,CY2016Q1I,487000000,8081000000,6407000000,383000000,null,829000000,2552000000
16918,CY2016Q1I,429300000,16965000000,10273200000,83100000,null,1851600000,7672900000
18230,CY2016Q1I,5101000000,78307000000,62554000000,null,6856000000,9849000000,null
19617,CY2016Q1I,null,2423808000000,2173651000000,null,null,null,null
20286,CY2016Q1I,null,19447000000,12712000000,613000000,null,null,786000000
21076,CY2016Q1I,436000000,4284000000,4025000000,414000000,null,460000000,null
21344,CY2016Q1I,null,91263000000,null,8748000000,4147000000,3052000000,31946000000
21665,CY2016Q1I,1108000000,12448000000,12521000000,1014000000,1546000000,1234000000,null
23217,CY2016Q1I,1007800000,13187200000,9454700000,466000000,null,1835500000,5500000000
24545,CY2016Q1I,null,15210300000,5291000000,2602900000,456500000,230400000,2973400000
24741,CY2016Q1I,836000000,27945000000,9958000000,3540000000,1388000000,1453000000,null
26172,CY2016Q1I,1809000000,14827000000,7567000000,915000000,null,2759000000,null
27419,CY2016Q1I,6391000000,39908000000,null,4036000000,null,8459000000,null
27904,CY2016Q1I,2732000000,53342000000,null,1708000000,null,null,null
29534,CY2016Q1I,1447223000,11316384000,null,187687000,null,3072063000,null
29905,CY2016Q1I,706191000,8980895000,null,243720000,1167313000,849830000,null
29989,CY2016Q1I,8405800000,21067700000,null,1747300000,6321400000,null,null
31462,CY2016Q1I,986100000,18341800000,11689700000,268500000,2248800000,1386100000,null
31791,CY2016Q1I,159480000,4210721000,2161241000,210731000,436755000,314060000,587800000
32604,CY2016Q1I,2140000000,21764000000,null,3322000000,3874000000,1950000000,null
33185,CY2016Q1I,55900000,6732900000,4200100000,96800000,424700000,null,3077900000
33213,CY2016Q1I,223307000,14049625000,5568054000,1556487000,149517000,null,2800000000
34088,CY2016Q1I,null,342789000000,164291000000,4846000000,null,null,null
34903,CY2016Q1I,null,5125457000,3030284000,19716000,null,null,null
35527,CY2016Q1I,null,142430000000,126075000000,null,null,null,15305000000
36104,CY2016Q1I,null,428638000000,381245000000,null,null,null,34872000000
36270,CY2016Q1I,null,124625632000,108270579000,1178175000,null,null,10341035000
37785,CY2016Q1I,516400000,6390400000,null,64300000,null,854900000,1988000000
37996,CY2016Q1I,null,237288000000,207572000000,15917000000,null,9770000000,null
38777,CY2016Q1I,null,15890900000,3450400000,8041000000,null,null,1442600000
40533,CY2016Q1I,2150000000,31702000000,null,1907000000,3654000000,3504000000,3400000000
40545,CY2016Q1I,13150000000,462193000000,366403000000,null,25918000000,23907000000,null
40704,CY2016Q1I,1725600000,21631600000,15541200000,null,null,1350200000,null
40987,CY2016Q1I,null,8450527000,null,205135000,null,3074641000,250000000
45012,CY2016Q1I,1844000000,33932000000,20872000000,9593000000,null,2893000000,null
46080,CY2016Q1I,176665000,4364695000,2718153000,1095880000,670663000,461734000,1547434000
47111,CY2016Q1I,436343000,5305840000,4426487000,285958000,544027000,770382000,2071404000
47217,CY2016Q1I,9099000000,25523000000,null,4636000000,3884000000,3547000000,null
48465,CY2016Q1I,389418000,6110345000,null,379881000,548497000,1027440000,null
48898,CY2016Q1I,292300000,3400900000,1825200000,320800000,null,559500000,989500000
49071,CY2016Q1I,null,26934000000,16409000000,2801000000,null,null,null
49196,CY2016Q1I,null,72644967000,65487297000,816248000,null,null,7935412000
49826,CY2016Q1I,525000000,15437000000,null,2448000000,null,1134000000,null
50863,CY2016Q1I,3163000000,105467000000,null,3061000000,4216000000,5751000000,24449000000
51143,CY2016Q1I,5302000000,118856000000,103784000000,14354000000,8527000000,1690000000,45254000000
51253,CY2016Q1I,276929000,4162460000,null,528877000,null,600696000,1503647000
51434,CY2016Q1I,2065000000,31043000000,null,1254000000,null,2217000000,null
51644,CY2016Q1I,5785100000,11516800000,9296600000,673400000,3718900000,null,null
52988,CY2016Q1I,487810000,7716805000,null,559722000,null,null,null
55067,CY2016Q1I,1926000000,15297000000,null,310000000,1505000000,null,7520000000
55785,CY2016Q1I,2442000000,14820000000,null,635000000,2255000000,1902000000,null
56873,CY2016Q1I,null,null,null,null,null,null,null
59478,CY2016Q1I,1151600000,34691800000,null,2307600000,3622600000,3740200000,null
60086,CY2016Q1I,null,77224000000,54099000000,null,null,null,null
60667,CY2016Q1I,8821000000,37177000000,29965000000,4561000000,null,11055000000,null
62709,CY2016Q1I,null,18128000000,null,918000000,null,null,null
62996,CY2016Q1I,834000000,6554000000,6470000000,2175000000,null,755000000,null
63754,CY2016Q1I,null,4365000000,2638100000,111800000,371200000,null,1055600000
63908,CY2016Q1I,654500000,33795400000,null,3310100000,null,93700000,null
64040,CY2016Q1I,168000000,8261000000,7071000000,1600000000,978000000,null,null
64803,CY2016Q1I,7361000000,92634000000,null,1779000000,13025000000,13912000000,null
65984,CY2016Q1I,888349000,45933882000,null,1091651000,993424000,null,null
